country,code3,visa_free_score,rank,Births_2023,Birth_Share,Birth_Share_Pct,entry_to_europe_status,region
Singapore,SGP,192,1,47472.0,0.0003593920151833,0.0359392015183373,visa-free,Asia
Republic of Korea,KOR,188,2,236394.0,0.0017896468663055,0.1789646866305579,visa-free,Asia
Japan,JPN,188,2,749884.0,0.0056770795819381,0.5677079581938177,visa-free,Asia
Denmark,DNK,186,3,57810.0,0.0004376569851228,0.0437656985122827,visa-free,Europe
Spain,ESP,186,3,336821.0,0.0025499405532962,0.2549940553296241,visa-free,Europe
Luxembourg,LUX,186,3,6946.0,5.258545958593939e-05,0.0052585459585939,visa-free,Europe
Switzerland,CHE,186,3,83702.0,0.0006336752286585,0.0633675228658551,visa-free,Europe
Sweden,SWE,186,3,97915.0,0.0007412763137571,0.0741276313757163,visa-free,Europe
Austria,AUT,185,4,77054.0,0.0005833458109609,0.0583345810960981,visa-free,Europe
Belgium,BEL,185,4,101686.0,0.0007698250854385,0.0769825085438501,visa-free,Europe
Germany,DEU,185,4,719249.0,0.0054451539334476,0.5445153933447643,visa-free,Europe
Greece,GRC,185,4,73661.0,0.0005576587299971,0.0557658729997103,visa-free,Europe
Ireland,IRL,185,4,53268.0,0.0004032712728511,0.0403271272851111,visa-free,Europe
Italy,ITA,185,4,384627.0,0.002911861152341,0.2911861152341076,visa-free,Europe
Netherlands,NLD,185,4,167842.0,0.0012706663846563,0.1270666384656383,visa-free,Europe
Norway,NOR,185,4,51545.0,0.0003902271111945,0.0390227111194535,visa-free,Europe
Finland,FIN,185,4,43556.0,0.0003297455049993,0.0329745504999305,visa-free,Europe
France,FRA,185,4,638891.0,0.0048367948258451,0.4836794825845149,visa-free,Europe
Hungary,HUN,184,5,85373.0,0.0006463257185762,0.0646325718576217,visa-free,Europe
United Arab Emirates,ARE,184,5,104015.0,0.0007874570369754,0.0787457036975451,visa-free,Asia
Portugal,PRT,184,5,86646.0,0.0006559631055691,0.0655963105569148,visa-free,Europe
Slovakia,SVK,184,5,52271.0,0.0003957233743185,0.0395723374318548,visa-free,Europe
Slovenia,SVN,184,5,17902.0,0.0001355290667301,0.013552906673013,visa-free,Europe
Malta,MLT,183,6,4213.0,3.189498146207352e-05,0.0031894981462073,visa-free,Europe
New Zealand,NZL,183,6,59236.0,0.0004484526755013,0.0448452675501397,visa-free,Oceania
Poland,POL,183,6,317916.0,0.0024068181643713,0.2406818164371366,visa-free,Europe
Croatia,HRV,183,6,31446.0,0.0002380654134954,0.0238065413495457,visa-free,Europe
Czechia,CZE,183,6,91845.0,0.0006953227088497,0.0695322708849784,visa-free,Europe
Estonia,EST,183,6,11036.0,8.35492559732835e-05,0.0083549255973283,visa-free,Europe
Australia,AUS,182,7,304340.0,0.0023040395580744,0.2304039558074402,visa-free,Oceania
United Kingdom,GBR,182,7,688388.0,0.0052115173270149,0.5211517327014922,visa-free,Europe
Latvia,LVA,182,7,14250.0,0.000107881197682,0.0107881197682066,visa-free,Europe
Liechtenstein,LIE,182,7,371.0,2.808696444915565e-06,0.0002808696444915,visa-free,Europe
Iceland,ISL,181,8,4347.0,3.290944325080313e-05,0.0032909443250803,visa-free,Europe
Canada,CAN,181,8,356745.0,0.0027007773941816,0.270077739418168,visa-free,Americas
Lithuania,LTU,181,8,21434.0,0.0001622684625345,0.0162268462534555,visa-free,Europe
Malaysia,MYS,180,9,435989.0,0.003300702841839,0.3300702841839062,visa-free,Asia
United States of America,USA,179,10,3657476.0,0.0276893257104151,2.76893257104151,visa-free,Americas
Bulgaria,BGR,178,11,62645.0,0.000474260886231,0.0474260886231093,visa-free,Europe
Romania,ROU,178,11,183623.0,0.0013901381868052,0.1390138186805204,visa-free,Europe
Monaco,MCO,177,12,368.0,2.785984613824604e-06,0.0002785984613824,visa-free,Europe
Chile,CHL,175,13,176196.0,0.0013339112636343,0.1333911263634347,visa-free,Americas
Cyprus,CYP,174,14,14524.0,0.0001099555449217,0.0109955544921708,visa-free,Asia
Andorra,AND,171,15,555.0,4.201688751827868e-06,0.0004201688751827,visa-free,Europe
Hong Kong SAR,HKG,171,15,41294.0,0.0003126207843567,0.031262078435672,visa-free,Asia
Argentina,ARG,169,16,503823.0,0.0038142476252471,0.3814247625247156,visa-free,Americas
Brazil,BRA,169,16,2601670.0,0.0196962298648072,1.9696229864807224,visa-free,Americas
San Marino,SMR,168,17,200.0,1.514122072730763e-06,0.000151412207273,visa-free,Europe
Israel,ISR,165,18,172312.0,0.0013045070129819,0.1304507012981916,visa-free,Asia
Barbados,BRB,162,19,3155.0,2.3885275697327787e-05,0.0023885275697327,visa-free,Americas
Brunei Darussalam,BRN,162,19,6237.0,4.721789683810884e-05,0.0047217896838108,visa-free,Asia
Bahamas,BHS,158,20,4335.0,3.281859592643929e-05,0.0032818595926439,visa-free,Americas
Mexico,MEX,157,21,2037689.0,0.0154265494613033,1.5426549461303378,visa-free,Americas
Saint Vincent and the Grenadines,VCT,156,22,1232.0,9.3269919680215e-06,0.0009326991968021,visa-free,Americas
Uruguay,URY,156,22,33443.0,0.0002531839223916,0.0253183922391674,visa-free,Americas
Saint Kitts and Nevis,KNA,155,23,549.0,4.156265089645944e-06,0.0004156265089645,visa-free,Americas
Antigua and Barbuda,ATG,154,24,1106.0,8.373095062201118e-06,0.0008373095062201,visa-free,Americas
Seychelles,SYC,154,24,1744.0,1.3203144474212252e-05,0.0013203144474212,visa-free,Africa
Vatican City,VAT,152,25,2.0,1.514122072730763e-08,1.514122072730763e-06,visa-free,Europe
Costa Rica,CRI,148,26,51969.0,0.0003934370499887,0.0393437049988725,visa-free,Americas
Panama,PAN,148,26,71469.0,0.0005410639520799,0.0541063952079974,visa-free,Americas
Grenada,GRD,147,27,1371.0,1.037930680856938e-05,0.0010379306808569,visa-free,Americas
Mauritius,MUS,147,27,11804.0,8.936348473256963e-05,0.0089363484732569,visa-free,Africa
Trinidad and Tobago,TTO,146,28,16094.0,0.0001218414031926,0.0121841403192644,visa-free,Americas
Dominica,DMA,145,29,738.0,5.587110448376516e-06,0.0005587110448376,visa-free,Americas
Paraguay,PRY,145,29,136778.0,0.0010354929443198,0.1035492944319841,visa-free,Americas
Saint Lucia,LCA,145,29,2019.0,1.5285062324217053e-05,0.0015285062324217,visa-free,Americas
Ukraine,UKR,143,30,212231.0,0.0016067182080886,0.1606718208088612,visa-free,Europe
Peru,PER,142,31,539623.0,0.0040852754762659,0.4085275476265962,visa-free,Americas
Macao SAR,MAC,141,32,4515.0,3.4181305791896975e-05,0.0034181305791896,visa-free,Asia
"Taiwan, Province of China",TWN,139,33,132404.0,0.0010023790945892,0.1002379094589219,visa-free,Asia
Serbia,SRB,136,34,59840.0,0.000453025324161,0.0453025324161044,visa-free,Europe
Guatemala,GTM,132,35,377167.0,0.0028553843990282,0.2855384399028218,visa-free,Americas
El Salvador,SLV,132,35,99428.0,0.0007527306472373,0.0752730647237371,visa-free,Americas
Solomon Islands,SLB,131,36,21548.0,0.000163131512116,0.0163131512116012,visa-free,Oceania
Honduras,HND,130,37,233793.0,0.0017699557087497,0.1769955708749716,visa-free,Americas
Colombia,COL,130,37,705009.0,0.0053373484418692,0.5337348441869212,visa-free,Americas
Marshall Islands,MHL,128,38,821.0,6.215471108559782e-06,0.0006215471108559,visa-free,Oceania
Samoa,WSM,128,38,5503.0,4.166106883118694e-05,0.0041661068831186,visa-free,Oceania
North Macedonia,MKD,128,38,16878.0,0.0001277767617177,0.0127776761717749,visa-free,Europe
Montenegro,MNE,128,38,6981.0,5.285043094866728e-05,0.0052850430948667,visa-free,Europe
Tonga,TON,127,39,2418.0,1.8305735859314924e-05,0.0018305735859314,visa-free,Oceania
Nicaragua,NIC,125,40,132214.0,0.0010009406786201,0.1000940678620125,visa-free,Americas
Tuvalu,TUV,124,41,226.0,1.710957942185762e-06,0.0001710957942185,visa-free,Oceania
Bosnia and Herzegovina,BIH,122,42,24569.0,0.0001860023260246,0.018600232602461,visa-free,Europe
Georgia,GEO,122,42,43765.0,0.0003313277625653,0.0331327762565309,visa-free,Asia
Kiribati,KIR,122,42,3421.0,2.58990580540597e-05,0.0025899058054059,visa-free,Oceania
Albania,ALB,121,43,28803.0,0.0002180562903043,0.021805629030432,visa-free,Europe
Micronesia (Federated States of),FSM,121,43,2512.0,1.9017373233498382e-05,0.0019017373233498,visa-free,Oceania
Palau,PLW,121,43,193.0,1.4611278001851863e-06,0.0001461127800185,visa-free,Oceania
Republic of Moldova,MDA,120,44,32986.0,0.0002497241534554,0.0249724153455484,visa-free,Europe
Venezuela,VEN,118,45,426984.0,0.0032325294955143,0.3232529495514361,visa-free,Americas
Russian Federation,RUS,113,46,1297207.0,0.0098206487580042,0.9820648758004272,schengen visa required,Europe
Türkiye,TUR,113,46,1072014.0,0.0081158002983819,0.811580029838198,schengen visa required,Asia
Qatar,QAT,111,47,29516.0,0.0002234541354936,0.0223454135493606,schengen visa required,Asia
South Africa,ZAF,101,48,1186793.0,0.0089847473853118,0.8984747385311801,schengen visa required,Africa
Belize,BLZ,99,49,7410.0,5.609822279467477e-05,0.0056098222794674,visa-free,Americas
Kuwait,KWT,96,50,49342.0,0.0003735490565634,0.0373549056563406,schengen visa required,Asia
Timor-Leste,TLS,94,51,30561.0,0.0002313654233236,0.0231365423323624,visa-free,Asia
Ecuador,ECU,94,51,270300.0,0.0020463359812956,0.2046335981295626,schengen visa required,Americas
Maldives,MDV,92,52,5795.0,4.387168705737386e-05,0.0043871687057373,schengen visa required,Asia
Vanuatu,VUT,89,53,8988.0,6.804464594852049e-05,0.006804464594852,schengen visa required,Oceania
Guyana,GUY,88,54,16764.0,0.0001269137121362,0.0126913712136292,schengen visa required,Americas
Saudi Arabia,SAU,88,54,546038.0,0.0041338409417488,0.4133840941748802,schengen visa required,Asia
Fiji,FJI,88,54,16631.0,0.0001259068209579,0.0125906820957926,visa-free,Oceania
Bahrain,BHR,87,55,19558.0,0.0001480659974923,0.0148065997492341,schengen visa required,Asia
Jamaica,JAM,86,56,33007.0,0.0002498831362731,0.0249883136273121,visa-free,Americas
Nauru,NRU,85,57,303.0,2.293894940187106e-06,0.0002293894940187,visa-free,Oceania
Oman,OMN,85,57,85065.0,0.0006439939705842,0.0643993970584211,schengen visa required,Asia
Papua New Guinea,PNG,83,58,255331.0,0.001933011514762,0.1933011514762092,visa-free,Oceania
Botswana,BWA,81,59,61294.0,0.0004640329916297,0.0464032991629796,schengen visa required,Africa
China,CHN,81,59,8899881.0,0.0673775313338856,6.737753133388567,schengen visa required,Asia
Kosovo,XKX,81,59,,,,visa-free,Europe
Belarus,BLR,79,60,65050.0,0.0004924682041556,0.049246820415568,schengen visa required,Europe
Thailand,THA,79,60,591200.0,0.0044757448469921,0.4475744846992135,schengen visa required,Asia
Bolivia (Plurinational State of),BOL,78,61,260151.0,0.0019695018567149,0.1969501856714903,schengen visa required,Americas
Kazakhstan,KAZ,78,61,409417.0,0.003099536583256,0.3099536583256053,schengen visa required,Asia
Suriname,SUR,78,61,10879.0,8.236067014618985e-05,0.0082360670146189,schengen visa required,Americas
Namibia,NAM,76,62,76715.0,0.0005807793740477,0.0580779374047702,schengen visa required,Africa
Lesotho,LSO,74,63,55728.0,0.0004218949743456,0.0421894974345699,schengen visa required,Africa
Indonesia,IDN,73,64,4482359.0,0.0339341934990169,3.393419349901695,schengen visa required,Asia
Dominican Republic,DOM,72,65,203183.0,0.0015382193255182,0.1538219325518273,schengen visa required,Americas
Morocco,MAR,72,65,629832.0,0.0047682126665608,0.4768212666560809,schengen visa required,Africa
Eswatini,SWZ,72,65,29622.0,0.0002242566201921,0.0224256620192153,schengen visa required,Africa
Malawi,MWI,71,66,662289.0,0.0050139319671339,0.5013931967133921,schengen visa required,Africa
Azerbaijan,AZE,70,67,125136.0,0.0009473558984661,0.0947355898466183,schengen visa required,Asia
Gambia,GMB,69,68,82092.0,0.000621486545973,0.0621486545973068,schengen visa required,Africa
Kenya,KEN,69,68,1499998.0,0.0113559004042599,1.135590040425999,schengen visa required,Africa
Ghana,GHA,68,69,888947.0,0.0067298713709389,0.6729871370938967,schengen visa required,Africa
United Republic of Tanzania,TZA,68,69,2346391.0,0.017763612021784,1.776361202178404,schengen visa required,Africa
Benin,BEN,67,70,478062.0,0.003619221131669,0.361922113166907,schengen visa required,Africa
Rwanda,RWA,67,70,395578.0,0.0029947669064334,0.2994766906433448,schengen visa required,Africa
Tunisia,TUN,67,70,167729.0,0.0012698109056852,0.126981090568529,schengen visa required,Africa
Armenia,ARM,66,71,34668.0,0.0002624579200871,0.026245792008715,schengen visa required,Asia
Uganda,UGA,66,71,1712750.0,0.012966562900348,1.296656290034807,schengen visa required,Africa
Zambia,ZMB,65,72,685565.0,0.0051901454939583,0.5190145493958328,schengen visa required,Africa
Cabo Verde,CPV,65,72,6440.0,4.875473074193056e-05,0.004875473074193,schengen visa required,Africa
Mongolia,MNG,64,73,65019.0,0.0004922335152344,0.0492233515234407,schengen visa required,Asia
Philippines,PHL,64,73,1840477.0,0.0139335342502664,1.3933534250266482,schengen visa required,Asia
Zimbabwe,ZWE,62,74,496917.0,0.0037619649900757,0.3761964990075763,schengen visa required,Africa
Sierra Leone,SLE,62,74,258903.0,0.001960053734981,0.1960053734981063,schengen visa required,Africa
Kyrgyzstan,KGZ,61,75,150759.0,0.001141337647814,0.1141337647814085,schengen visa required,Asia
Uzbekistan,UZB,61,75,943547.0,0.0071432266967944,0.7143226696794466,schengen visa required,Asia
Mozambique,MOZ,60,76,1260855.0,0.0095454419300647,0.954544193006473,schengen visa required,Africa
Sao Tome and Principe,STP,60,76,6507.0,4.926196163629537e-05,0.0049261961636295,schengen visa required,Africa
Cuba,CUB,58,77,95938.0,0.0007263092170682,0.0726309217068219,schengen visa required,Americas
Togo,TGO,58,77,289759.0,0.0021936524883619,0.2193652488361965,schengen visa required,Africa
Burkina Faso,BFA,57,78,728612.0,0.0055160375582825,0.5516037558282533,schengen visa required,Africa
Gabon,GAB,57,78,68745.0,0.0005204416094493,0.0520441609449381,schengen visa required,Africa
Côte d’Ivoire,CIV,57,78,997001.0,0.0075479061031732,0.7547906103173216,schengen visa required,Africa
Madagascar,MDG,57,78,1001244.0,0.0075800282029462,0.75800282029462,schengen visa required,Africa
Senegal,SEN,57,78,531890.0,0.0040267319463238,0.4026731946323827,schengen visa required,Africa
Mauritania,MRT,56,79,172885.0,0.0013088449727202,0.1308844972720289,schengen visa required,Africa
Algeria,DZA,55,80,905981.0,0.0068588291478734,0.6858829147873446,schengen visa required,Africa
India,IND,55,80,23219488.0,0.1757856964915354,17.57856964915354,schengen visa required,Asia
Niger,NER,55,80,1095892.0,0.0082965713326453,0.8296571332645306,schengen visa required,Africa
Guinea,GIN,54,81,487595.0,0.0036913917602657,0.3691391760265782,schengen visa required,Africa
Tajikistan,TJK,54,81,271420.0,0.0020548150649029,0.2054815064902918,schengen visa required,Asia
Equatorial Guinea,GNQ,54,81,54694.0,0.0004140669632296,0.0414066963229681,schengen visa required,Africa
Mali,MLI,53,82,951445.0,0.0072030193774466,0.7203019377446603,schengen visa required,Africa
Guinea-Bissau,GNB,52,83,64679.0,0.0004896595077107,0.0489659507710765,schengen visa required,Africa
Chad,TCD,52,83,819054.0,0.0062007387007921,0.6200738700792112,schengen visa required,Africa
Jordan,JOR,51,84,235776.0,0.0017849682291008,0.1784968229100841,schengen visa required,Asia
Comoros,COM,51,84,24366.0,0.0001844654921207,0.0184465492120788,schengen visa required,Africa
Bhutan,BTN,50,85,9958.0,7.538813800126469e-05,0.0075388138001264,schengen visa required,Asia
Haiti,HTI,50,85,258348.0,0.0019558520462292,0.1955852046229236,schengen visa required,Americas
Egypt,EGY,50,85,2405717.0,0.0182127460522181,1.8212746052218165,schengen visa required,Africa
Cambodia,KHM,50,85,361586.0,0.0027374267189521,0.2737426718952128,schengen visa required,Asia
Angola,AGO,49,86,1381370.0,0.0104578140380404,1.045781403804047,schengen visa required,Africa
Burundi,BDI,49,86,460882.0,0.0034891580456214,0.3489158045621497,schengen visa required,Africa
Viet Nam,VNM,49,86,1387961.0,0.0105077119309473,1.0507711930947312,schengen visa required,Asia
Liberia,LBR,49,86,170065.0,0.0012874958514947,0.1287495851494786,schengen visa required,Africa
Central African Republic,CAF,49,86,238858.0,0.0018083008502416,0.1808300850241622,schengen visa required,Africa
Cameroon,CMR,47,87,957392.0,0.0072480417972792,0.7248041797279253,schengen visa required,Africa
Congo,COG,47,87,189365.0,0.0014336086315133,0.1433608631513304,schengen visa required,Africa
Lao People's Democratic Republic,LAO,47,87,163043.0,0.0012343350255212,0.1234335025521208,schengen visa required,Asia
Turkmenistan,TKM,47,87,160100.0,0.0012120547192209,0.1212054719220975,schengen visa required,Asia
Djibouti,DJI,46,88,23946.0,0.000181285835768,0.0181285835768054,schengen visa required,Africa
Myanmar,MMR,44,89,903822.0,0.0068424842000983,0.6842484200098319,schengen visa required,Asia
Nigeria,NGA,44,89,7509758.0,0.0568534517433321,5.685345174333214,schengen visa required,Africa
Democratic Republic of the Congo,COD,43,90,4369683.0,0.0330811674056818,3.308116740568189,schengen visa required,Africa
Lebanon,LBN,43,90,93205.0,0.0007056187389443,0.0705618738944353,schengen visa required,Asia
Ethiopia,ETH,43,90,4105685.0,0.031082541410898,3.108254141089801,schengen visa required,Africa
Sudan,SDN,41,91,1682049.0,0.0127341375915735,1.2734137591573536,schengen visa required,Africa
South Sudan,SSD,41,91,328308.0,0.0024854919472704,0.2485491947270456,schengen visa required,Africa
Iran (Islamic Republic of),IRN,40,92,1173463.0,0.0088838311491642,0.8883831149164295,schengen visa required,Asia
Libya,LBY,39,93,124371.0,0.0009415643815379,0.0941564381537988,schengen visa required,Africa
Sri Lanka,LKA,39,93,324102.0,0.0024536499600809,0.2453649960080928,schengen visa required,Asia
Democratic People's Republic of Korea,PRK,38,94,342038.0,0.0025894364275634,0.2589436427563423,schengen visa required,Asia
State of Palestine,PSE,38,94,146384.0,0.0011082162274731,0.11082162274731,schengen visa required,Asia
Eritrea,ERI,38,94,99058.0,0.0007499295214028,0.0749929521402819,schengen visa required,Africa
Bangladesh,BGD,37,95,3489953.0,0.0264210743504647,2.6421074350464724,schengen visa required,Asia
Nepal,NPL,35,96,574297.0,0.0043477788200152,0.4347778820015294,schengen visa required,Asia
Somalia,SOM,33,97,788763.0,0.0059714173422666,0.5971417342266674,schengen visa required,Africa
Yemen,YEM,31,98,1386914.0,0.0104997855018965,1.0499785501896568,schengen visa required,Asia
Pakistan,PAK,31,98,6882058.0,0.0521013796180666,5.210137961806664,schengen visa required,Asia
Iraq,IRQ,29,99,1159682.0,0.0087795005677427,0.8779500567742783,schengen visa required,Asia
Syrian Arab Republic,SYR,26,100,521601.0,0.0039488379362921,0.3948837936292193,schengen visa required,Asia
Afghanistan,AFG,24,101,1469029.0,0.011121446171908,1.1121446171908,schengen visa required,Asia
